,hotelId,hotelName,tripType,tripTypeText,reviewDate,rating,description,isKorNot
356,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),family,1박 가족 여행,2019년 1월 26일,10.0,직원들 서비스나 마인드 완벽합니다 다만 노후된 시설과 좁은 라운지가 호텔 이름에 비해 약간 부족합니다,True
357,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),family,1박 가족 여행,2019년 2월 4일,10.0,웨스틴조선은 모든면에서 최고의 숙소라고 생각합니다 분위기 편의성 직원친절도까지 모두 인상적이었습니다,True
358,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),other,2박 여행,2019년 2월 2일,10.0,서울시내에서 호캉스를 누릴 수 있는 곳아침 뷔페가 맛있는 곳룸서비스가 좋았음요구사항에 친절히 빠르게 응대하여 좋았음직원이 친절하고 따뜻한 곳수영장은 사람들이 많았음,True
359,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),romance,1박 로맨틱 여행,2019년 1월 26일,10.0,가격에 맞게 만족했습니다,True
360,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),with-friends,친구와 1박 여행,2019년 1월 25일,10.0,처음 세명으로 셋팅 되어있지 않은점 빼고는 직원들의 친절도 및 서비스는 모두 맘에 들었어요 시설도 그렇구요 불편하지 않게 추가로 커피서비스 및 젓가락도 친절히 가져다 주시고 너무 편안히 쉬다가 왔습니다,True
361,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),family,1박 가족 여행,2019년 1월 19일,10.0,서비스 최고였어요수영장만 말고 사우나도 같이 이용할수있었으면 다만 토요일 오후에 집회 때문에 주변이 혼잡하더라구요,True
362,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),business,2박 출장,2019년 1월 18일,10.0,최고의 위치 좋은 서비스 관리 잘 된 시설 아주 만족,True
363,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),romance,1박 로맨틱 여행,2019년 1월 5일,10.0,명동 가깝고 이그제큐티브룸 서비스도 좋고 깨끗하고 친절해요,True
364,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),romance,1박 로맨틱 여행,2019년 2월 8일,10.0,위치도 좋았고 룸컨디션이 너무 좋았어요특히 조식부폐는 음식퀄리티가 굉장히 훌륭했어요,True
365,105343,서울 웨스틴조선호텔 (The Westin Chosun Seoul),romance,1박 로맨틱 여행,2019년 1월 5일,10.0,중심가라 새벽에도 차량소음이 들린다는 점 히터때문에 객실이 좀 건조한 편이라는 점을 제외하고는 모두 만족스러웠습니다,True
